id,datum_zahajeni,omezeni_dodavky,nahradni_zasobovani,obec,ulice,datum_ukonceni,poznamka,longitude,latitude,ObjectId,GlobalID,x,y
PU_PU_OM.30184376,02.02.2026 01:38,Ano,cisterna,Brno,V rejích,02.02.2026 15:00,Cisterna bude přistavena:,16.65495201,49.13945774,26,c96be9c7-6826-4642-95a1-1053cbef56c6,1854020.77693961,6298557.66829081
PU_PU_OM.30184376,02.02.2026 01:38,Ano,cisterna,Brno,V rejích,02.02.2026 15:00,Cisterna bude přistavena:,16.65473617,49.13937522,27,71b50dbd-c430-4608-a7ac-eeb82d20b2c0,1853996.74974072,6298543.62702801
PU_PU_OM.30184376,02.02.2026 01:38,Ano,cisterna,Brno,V rejích,02.02.2026 15:00,Cisterna bude přistavena:,16.65498929,49.13939041,28,61b75df0-02d9-48ab-b546-b86fdb92bb13,1854024.92693022,6298546.21169399
PU_PU_OM.30184376,02.02.2026 01:38,Ano,cisterna,Brno,V rejích,02.02.2026 15:00,Cisterna bude přistavena:,16.65477955,49.13931406,29,61fc3c71-a539-48b5-bcff-bed26836da7b,1854001.57878023,6298533.22030977
PU_PU_OM.30184376,02.02.2026 01:38,Ano,cisterna,Brno,V rejích,02.02.2026 15:00,Cisterna bude přistavena:,16.65502047,49.13933522,30,093b8a5e-c6f9-4a5f-82be-c6654d57771e,1854028.39787195,6298536.82080142
PU_PU_OM.30184376,02.02.2026 01:38,Ano,cisterna,Brno,V rejích,02.02.2026 15:00,Cisterna bude přistavena:,16.65505642,49.1392737,31,8700aba9-77ff-4b1f-a387-0aa52f91463a,1854032.39980764,6298526.35283565
PU_PU_OM.30184376,02.02.2026 01:38,Ano,cisterna,Brno,V rejích,02.02.2026 15:00,Cisterna bude přistavena:,16.65486197,49.13915975,32,7746a65e-121d-4130-aa55-2909d4757fa0,1854010.75373266,6298506.96365183
PU_PU_OM.30184376,02.02.2026 01:38,Ano,cisterna,Brno,V rejích,02.02.2026 15:00,Cisterna bude přistavena:,16.65486725,49.1391496,33,97c620da-74d6-4258-8704-96f48384acd8,1854011.34149957,6298505.23657883
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52604592,49.22325981,34,3d9e3b8e-ac19-4b4c-9cde-693052316e8b,1839671.01664066,6312829.16867644
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52631091,49.22335869,35,c34d39b7-8b85-4061-b66d-cb12560779fb,1839700.51519252,6312846.02223504
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52652856,49.2232726,36,a1f572e2-f226-472b-b168-8ee5b3e27c9f,1839724.74387969,6312831.34866053
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52673288,49.2234517,37,a81d04a2-cde1-43dc-bd82-eb4f96599f61,1839747.48867805,6312861.87531481
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52724887,49.22398005,38,79fbc5ab-1385-4dab-b6ab-54b572a945a5,1839804.92842211,6312951.9304418
